time;P_int
75600;2.4
75660;1.8
75720;3
75780;1.8
75840;2.4
75900;3
75960;2.4
76020;1.2
76080;0
76140;2.4
76200;0.6
76260;0
76320;1.8
76380;1.2
76440;0
76500;1.8
76560;0.6
76620;0
76680;2.4
76740;0.6
76800;0
76860;2.4
76920;0.6
76980;0
